Profession: ,Field of work / stream: ,Hobbies,What you do from 6:00 am to 7:00 am?,What you do from 7:00 am to 8:00 am?,What you do from 8:00 am to 9:00 am?,What you do from 9:00 am to 10:00 am?,What you do from 10:00 am to 11:00 am?,What you do from 11:00 am to 12:00 pm?,What you do from 12:00 pm to 1:00 pm?,What you do from 1:00 pm to 2:00 pm?,What you do from 2:00 pm to 3:00 pm?,What you do from 3:00 pm to 4:00 pm?,What you do from 4:00 pm to 5:00 pm?,What you do from 5:00 pm to 6:00 pm?,What you do from 6:00 pm to 7:00 pm?,What you do from 7:00 pm to 8:00 pm?,What you do from 8:00 pm to 9:00 pm?,What you do from 9:00 pm to 10:00 pm?,What you do from 10:00 pm to 11:00 pm?,What you do from 11:00 pm to 6:00 am?
Studying,Architecture,"Painting, music",Sleep,Exercise,Use phone..and take some time for myself,Get ready for work,College work, College work,College work,Break time,College work,College work,Break time,College work,Rest,Watch tv,Prayer,Dinner,Use phone,Sleep
Business,🥥coconut business,"Drawing, watching drams, listening music, ride bullet ",Selling coconut and banana,Playing 🎮games,Work,Work,Work and watch drama,Work ,Play game and work,Eat food 🍴🍕 and watching drama,Work,Work,Work,Private call,Watching drama,Watching drama,Watching drama,Korean drama  eat food,Korean  drama,Sleep💤😴
Student,Commerce,Reading,Sleep,Sleep,Work,Study,Study,Cooking,Cooking,Lunch,Timepass,Sleep,Work,Study,Study,Cooking,Dinner,Work,Television,Sleep
Student,Physics,Cycling,Sleep,Sleep,Freshen up,Study,Study,Study,Study,Lunch,Play  call of duty,Sleep,Have tea and go for cycle ride,Cycle ride,Workout,Bath,Study,Dinner,Study,Play call of duty and sleep
Support engineer,I.T.,Music and dance,"Bathing, detoxifying, workout, breakfast",Work on project,Work on project,Attend meetings,R&D on the problems faced,Starting solving the problems,Working on the solutions,Problem sharing and solving,"Lunch, get back to work",Reporting day's work status and planning for tomorrow,Buying groceries,Praying and meditating,Listening to music and Simping,Simping,Eating food,R&D,Simping,Sleep
Teaching,Teaching in school,Reading,Offer prayer,Sleeping,Breakfast time,Cooking ,Getting ready for school,Off to school,Assembly time,Taking lectures,Taking lectures,Break time,Taking lectures,Taking lectures,Off from school time to go home,Getting fresh and then have my tea,Rest,Prayer time,Dinner time with family,Spending some time with kiddos then bed time
Piping designer,Mechanical engineering,Singing ,Riyaz,Office work,Office work,Office work,Office work,Office work,Office work,Lunch,Office work,Rest ,Rest,Music class,Music class,Break ,Software class,Software practice,Dinner,Sleep
Software Engineer,Game Programming,"Singing, Illustrating, Video Editing",Sleep,Sleep,Workout,Breakfast + Morning Routine ,Work,Work,Work,Lunch,Leisure,Leisure,Make Tea/Coffee,Household work,Leisure,Prepare Dinner,Eat Dinner ,Leisure,Netflix,Netflix & Sleep
Student,Information technology,"Football, Web series, Acting, Music, Reading",Exercise,Bath and other stuff,Sleep,Sleep,Web series,Study not frequently,Reading,Web series,Web series,Web series,Football,Time pass,Time pass,Time pass,Study,Study,Study,Sleep
Student,Data science,"Reading blogs, Provide ML solutions",Sleeping,Sleeping,Sleeping,Attending lecture,Attending lecture,Attending lecture,Making lunch,Eating lunch,Exploring Datasets,Try to apply ML on dataset,Same as above,Hackathon,Exercise,Making dinner,Eating dinner,Meeting,Meeting,Solving Data science problems
Student,Commerce,"Listening music, cooking, riding cycle",Sleep,Morning walk,Morning rituals,Breakfast,Tv or news,Lectures,Lectures,Lunch,Watch mivies,Study,Study,Study & Assignments,Practise softwares,Exercise,Post workot,Dinner,Read Books,Sleep
Student,Commerce with entrepreneurship and informative practices,"Football, playing CODM",Brush and eat something,Nothing ,Nothing,Online Class,Online class,Eat breakfast,Play CODM,Play CODM,Eat lunch ,Play CODM,Play CODM,Household work,Study,Study,Eat dinner,Study,Try to sleep,Play CODM sometimes /sleep
Student,IT,Art and craft ,Sleep,Sleep,Sleep,Online Lectures ,Online Lectures,Online Courses ,Online courses ,Lunch ,Assignment ,Sleep,Sleep,Breakfast ,Assignment ,Timepass ,Help mom in work,Dinner,T. V,Sleep
Student,Btech comps,Reading,Sleep,Sleep,Lectures,Lectures,Lectures,Lectures,Lectures,Lunch,Sleep,Sleep,Sleep,Workout,Breakfast,Free time,Free time,Dinner,Television ,Sleep
Student and working ,Healthcare / Commerce,"Drawing, painting, reading books, travelling, playing badminton ",Exercise ,Household chores ,Breakfast ,Get freshen up to start work ,Working hours ,Working hours ,Working hours ,Working hours ,2-2:30 break for lunch..  Again resume with work ,Working hours ,Working hours ,Working hours ,Working hours ,Working hours ,Working hours ,Dinner - For half hour then resume to work ,Working hours - International timings ,"Household chores, and sleep by 1:30am "
Student,Students bsc,"Gardening, wildlife photography",Asleep,Attend practicals,Practicals,Relax and excercise,Get back to lectures after breakfast,Lectures,TaKe a  Break and relax,Lectures,Have lunch,Spend time in youtube,Afternoon nap,Asleep,Help in household chores,Take tuitions,Tuitions,"Self study , assignments homework",Social media,Dinner and asleep
Senior Developer,Software development,"Cycling, Reading and Music",Sleep,Sleep,Awake and get ready and prayer,Snack den start Working,Office work and normal mail check,Office work,Take. Walk for 15 min,Lunch,Office work,Office work and try to get some info on net.,"Snack , random calls and  office work",Meeting,Office meeting,Office work,Dinner,Walk,Family time,"Read books , Prayer and sleep."
Nil,Nil,Drawing writing,Sleeping,Breakfast etc,Newspaper,Study,Study,Study,Study,Food,Sleeping,Sleeping,Study,Study,"Study, tea, bath","Study, dinner","Prayer, study",Study,Study,Study sleep
